order_id,customer_id,order_date,region,category,quantity,unit_price,status
ORD0000001,CUST05239,2024-04-24,North,Clothing,3,339.97,pending
ORD0000002,CUST00713,2025-03-08,North,Electronics,4,18.14,PENDING
ORD0000003,CUST05866,2025-03-05,South,Furniture,1,84.03,completed
ORD0000004,CUST02788,2024-10-11,South,Grocery,6,193.06,CANCELLED
ORD0000005,CUST06943,2024-12-18,north,Clothing,8,486.69,completed
ORD0000006,CUST00646,2024-10-27,,Toys,6,353.76,COMPLETED
ORD0000007,CUST05418,2024-08-21,,Clothing,4,193.16,completed
ORD0000008,CUST05208,2025-01-08,South,Clothing,5,343.36,COMPLETED
ORD0000009,CUST04991,2024-06-24,north,Grocery,7,463.07,pending
ORD0000010,CUST01800,2024-11-28,,Electronics,1,203.58,COMPLETED
ORD0000011,CUST01729,2024-11-18,South,Furniture,8,74.12,pending
ORD0000012,CUST04416,2024-09-26,SOUTH,Toys,10,113.56,PENDING
ORD0000013,CUST04175,2025-05-20,North,Electronics,3,397.08,completed
ORD0000014,CUST04886,2024-03-06,West,Furniture,8,485.68,COMPLETED
ORD0000015,CUST05573,2024-04-27,SOUTH,Toys,6,220.21,completed
ORD0000016,CUST00027,2024-09-26,north,Grocery,2,152.73,pending
ORD0000017,CUST04989,2024-07-22,South,Clothing,9,461.6,COMPLETED
ORD0000018,CUST04907,2024-11-27,West,Electronics,6,416.67,CANCELLED
ORD0000019,CUST01962,2024-02-29,South,Toys,2,408.93,pending
ORD0000020,CUST06274,2024-05-08,South,Furniture,3,436.85,completed
ORD0000021,CUST07901,2024-08-04,north,Grocery,7,326.69,completed
ORD0000022,CUST07370,2025-06-13,West,Electronics,2,296.21,PENDING
ORD0000023,CUST04821,2024-08-13,North,Electronics,1,453.18,CANCELLED
ORD0000024,CUST00581,2025-06-10,South,Clothing,4,363.06,pending
ORD0000025,CUST04721,2025-04-29,South,Furniture,4,331.2,CANCELLED
ORD0000026,CUST03470,2025-02-24,West,Electronics,2,365.47,COMPLETED
ORD0000027,CUST02037,2024-07-15,South,Toys,7,234.0,COMPLETED
ORD0000028,CUST03631,2024-04-10,North,Toys,2,425.1,PENDING
ORD0000029,CUST03330,2025-05-12,West,Grocery,1,6.07,completed
ORD0000030,CUST02173,2025-04-10,East,Furniture,9,245.9,PENDING
ORD0000031,CUST02431,2024-08-10,North,Toys,1,33.3,pending
ORD0000032,CUST03906,2025-05-29,,Toys,9,96.98,pending
ORD0000033,CUST00557,2024-08-28,West,Electronics,10,299.29,pending
ORD0000034,CUST00672,2025-03-05,SOUTH,Toys,6,106.11,CANCELLED
ORD0000035,CUST01956,2024-09-28,West,Grocery,5,464.86,COMPLETED
ORD0000036,CUST00077,2025-04-14,north,Toys,2,255.41,PENDING
ORD0000037,CUST07646,2024-12-23,North,Grocery,3,273.89,CANCELLED
ORD0000038,CUST05011,2024-01-09,SOUTH,Toys,2,71.47,COMPLETED
ORD0000039,CUST07289,2024-04-19,SOUTH,Toys,5,360.22,PENDING
ORD0000040,CUST05632,2024-09-27,north,Furniture,1,214.67,CANCELLED
ORD0000041,CUST00362,2024-01-04,East,Grocery,5,223.71,completed
ORD0000042,CUST04595,2024-01-10,North,Electronics,3,418.12,pending
ORD0000043,CUST04527,2024-05-31,West,Grocery,6,399.08,COMPLETED
ORD0000044,CUST07364,2025-01-01,South,Grocery,6,442.65,completed
ORD0000045,CUST07978,2024-06-07,South,Grocery,3,17.27,CANCELLED
ORD0000046,CUST06410,2025-02-25,,Grocery,2,24.17,completed
ORD0000047,CUST01823,2024-07-23,,Furniture,4,331.72,completed
ORD0000048,CUST02690,2024-10-12,,Electronics,5,257.16,pending
ORD0000049,CUST02713,2024-01-29,North,Clothing,5,300.3,CANCELLED
ORD0000050,CUST05969,2024-11-17,West,Toys,2,290.41,CANCELLED
ORD0000051,CUST00364,2025-03-22,North,Toys,9,470.43,PENDING
ORD0000052,CUST02984,2025-03-17,North,Clothing,2,153.66,CANCELLED
ORD0000053,CUST05464,2025-02-22,East,Furniture,9,213.12,completed
ORD0000054,CUST05549,2024-06-27,north,Toys,9,155.42,PENDING
ORD0000055,CUST03522,2024-11-25,West,Furniture,4,397.9,PENDING
ORD0000056,CUST05398,2024-03-27,East,Toys,10,410.12,PENDING
ORD0000057,CUST05512,2024-11-13,South,Grocery,1,240.19,COMPLETED
ORD0000058,CUST03731,2025-02-28,SOUTH,Toys,7,125.77,COMPLETED
ORD0000059,CUST07313,2024-04-19,,Furniture,9,280.92,COMPLETED
ORD0000060,CUST03740,2024-05-16,,Furniture,9,475.27,completed
ORD0000061,CUST05019,2025-05-31,West,Toys,3,239.96,CANCELLED
ORD0000062,CUST06159,2024-09-10,,Clothing,9,123.43,completed
ORD0000063,CUST00635,2024-10-19,South,Clothing,9,79.66,completed
ORD0000064,CUST05685,2024-06-05,SOUTH,Grocery,7,235.63,COMPLETED
ORD0000065,CUST01695,2025-03-06,West,Toys,1,383.97,completed
ORD0000066,CUST03908,2024-01-07,East,Clothing,7,368.64,pending
